actor, added date, video id, character name, description, encoding, tags, title, user id
"Annie Golden",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"Jeannie Ryan","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Beverly D'Angelo",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"Sheila Franklin","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Donnie Dacus",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"Woof","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Dorsey Wright",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"Lafayette","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Treat Williams",1979-03-14,7babc878-0ef2-11e5-a7b9-8438355b7e3a,"George Berger","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Hair",854c2cbc-a67d-4740-9164-0e166ab99a24
"Jonathan Winters",1979-11-06,7bae58d7-0ef2-11e5-a098-8438355b7e3a,"H.S.","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Fish That Saved Pittsburgh",854c2cbc-a67d-4740-9164-0e166ab99a24
"Julius Erving",1979-11-06,7bae58d7-0ef2-11e5-a098-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Fish That Saved Pittsburgh",854c2cbc-a67d-4740-9164-0e166ab99a24
"M. Emmet Walsh",1979-11-06,7bae58d7-0ef2-11e5-a098-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Fish That Saved Pittsburgh",854c2cbc-a67d-4740-9164-0e166ab99a24
"Margaret Avery",1979-11-06,7bae58d7-0ef2-11e5-a098-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Fish That Saved Pittsburgh",854c2cbc-a67d-4740-9164-0e166ab99a24
"Stockard Channing",1979-11-06,7bae58d7-0ef2-11e5-a098-8438355b7e3a,"Mona Mondieu","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Fish That Saved Pittsburgh",854c2cbc-a67d-4740-9164-0e166ab99a24
"Henry Jones",1969-09-23,7bae5eb3-0ef2-11e5-bfd2-8438355b7e3a,"Bike Salesman","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Butch Cassidy and the Sundance Kid",854c2cbc-a67d-4740-9164-0e166ab99a24
"Jeff Corey",1969-09-23,7bae5eb3-0ef2-11e5-bfd2-8438355b7e3a,"Sheriff Bledsoe","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Butch Cassidy and the Sundance Kid",854c2cbc-a67d-4740-9164-0e166ab99a24
"Katharine Ross",1969-09-23,7bae5eb3-0ef2-11e5-bfd2-8438355b7e3a,"Etta Place","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Butch Cassidy and the Sundance Kid",854c2cbc-a67d-4740-9164-0e166ab99a24
"Robert Redford",1969-09-23,7bae5eb3-0ef2-11e5-bfd2-8438355b7e3a,"The Sundance Kid","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Butch Cassidy and the Sundance Kid",854c2cbc-a67d-4740-9164-0e166ab99a24
"Strother Martin",1969-09-23,7bae5eb3-0ef2-11e5-bfd2-8438355b7e3a,"Percy Garris","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Butch Cassidy and the Sundance Kid",854c2cbc-a67d-4740-9164-0e166ab99a24
"Arthur Lowe",1973-06-20,7bae6770-0ef2-11e5-b136-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"O Lucky Man!",854c2cbc-a67d-4740-9164-0e166ab99a24
"Helen Mirren",1973-06-20,7bae6770-0ef2-11e5-b136-8438355b7e3a,"Patricia","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"O Lucky Man!",854c2cbc-a67d-4740-9164-0e166ab99a24
"Malcolm McDowell",1973-06-20,7bae6770-0ef2-11e5-b136-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"O Lucky Man!",854c2cbc-a67d-4740-9164-0e166ab99a24
"Rachel Roberts",1973-06-20,7bae6770-0ef2-11e5-b136-8438355b7e3a,"Gloria Rowe","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"O Lucky Man!",854c2cbc-a67d-4740-9164-0e166ab99a24
"Ralph Richardson",1973-06-20,7bae6770-0ef2-11e5-b136-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"O Lucky Man!",854c2cbc-a67d-4740-9164-0e166ab99a24
"Charles Durning",1973-12-25,7bae6eca-0ef2-11e5-8040-8438355b7e3a,"Lt. William Snyder","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Sting",854c2cbc-a67d-4740-9164-0e166ab99a24
"Harold Gould",1973-12-25,7bae6eca-0ef2-11e5-8040-8438355b7e3a,"Kid Twist","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Sting",854c2cbc-a67d-4740-9164-0e166ab99a24
"Paul Newman",1973-12-25,7bae6eca-0ef2-11e5-8040-8438355b7e3a,"Henry Gondorff","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Sting",854c2cbc-a67d-4740-9164-0e166ab99a24
"Robert Redford",1973-12-25,7bae6eca-0ef2-11e5-8040-8438355b7e3a,"Johnny Hooker","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Sting",854c2cbc-a67d-4740-9164-0e166ab99a24
"Robert Shaw",1973-12-25,7bae6eca-0ef2-11e5-8040-8438355b7e3a,"Lonnegan","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Sting",854c2cbc-a67d-4740-9164-0e166ab99a24
"Alec Guinness",1977-05-25,7bae7e23-0ef2-11e5-8cf5-8438355b7e3a,"Obi-Wan Kenobi","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Star Wars",854c2cbc-a67d-4740-9164-0e166ab99a24
"Carrie Fisher",1977-05-25,7bae7e23-0ef2-11e5-8cf5-8438355b7e3a,"Leia Organa","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Star Wars",854c2cbc-a67d-4740-9164-0e166ab99a24
"Harrison Ford",1977-05-25,7bae7e23-0ef2-11e5-8cf5-8438355b7e3a,"Han Solo","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Star Wars",854c2cbc-a67d-4740-9164-0e166ab99a24
"Mark Hamill",1977-05-25,7bae7e23-0ef2-11e5-8cf5-8438355b7e3a,"Luke Skywalker","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Star Wars",854c2cbc-a67d-4740-9164-0e166ab99a24
"Peter Cushing",1977-05-25,7bae7e23-0ef2-11e5-8cf5-8438355b7e3a,"Grand Moff Tarkin","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Star Wars",854c2cbc-a67d-4740-9164-0e166ab99a24
"Janice Rule",1977-04-03,7bae8823-0ef2-11e5-9169-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"3 Women",854c2cbc-a67d-4740-9164-0e166ab99a24
"John Cromwell",1977-04-03,7bae8823-0ef2-11e5-9169-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"3 Women",854c2cbc-a67d-4740-9164-0e166ab99a24
"Ruth Nelson",1977-04-03,7bae8823-0ef2-11e5-9169-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"3 Women",854c2cbc-a67d-4740-9164-0e166ab99a24
"Shelley Duvall",1977-04-03,7bae8823-0ef2-11e5-9169-8438355b7e3a,"Millie Lammoreaux","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"3 Women",854c2cbc-a67d-4740-9164-0e166ab99a24
"Sissy Spacek",1977-04-03,7bae8823-0ef2-11e5-9169-8438355b7e3a,"Pinky Rose","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"3 Women",854c2cbc-a67d-4740-9164-0e166ab99a24
"Burgess Meredith",1978-07-14,7bae8d91-0ef2-11e5-aee9-8438355b7e3a,"Mr. Hennessey","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Foul Play",854c2cbc-a67d-4740-9164-0e166ab99a24
"Chevy Chase",1978-07-14,7bae8d91-0ef2-11e5-aee9-8438355b7e3a,"Tony Carlson","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Foul Play",854c2cbc-a67d-4740-9164-0e166ab99a24
"Eugene Roche",1978-07-14,7bae8d91-0ef2-11e5-aee9-8438355b7e3a,"Archbishop Thorncrest","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Foul Play",854c2cbc-a67d-4740-9164-0e166ab99a24
"Goldie Hawn",1978-07-14,7bae8d91-0ef2-11e5-aee9-8438355b7e3a,"Gloria Mundy","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Foul Play",854c2cbc-a67d-4740-9164-0e166ab99a24
"Rachel Roberts",1978-07-14,7bae8d91-0ef2-11e5-aee9-8438355b7e3a,"Gerda Casswell","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Foul Play",854c2cbc-a67d-4740-9164-0e166ab99a24
"Christopher Gummer",1978-05-01,7bae96ab-0ef2-11e5-834d-8438355b7e3a,"Clay","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Alien Factor",854c2cbc-a67d-4740-9164-0e166ab99a24
"George Stover",1978-05-01,7bae96ab-0ef2-11e5-834d-8438355b7e3a,"Steven Price","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Alien Factor",854c2cbc-a67d-4740-9164-0e166ab99a24
"Johnny Walker",1978-05-01,7bae96ab-0ef2-11e5-834d-8438355b7e3a,"Rex","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Alien Factor",854c2cbc-a67d-4740-9164-0e166ab99a24
"Marie Van Tassell",1978-05-01,7bae96ab-0ef2-11e5-834d-8438355b7e3a,"Susan","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Alien Factor",854c2cbc-a67d-4740-9164-0e166ab99a24
"Tom Griffith",1978-05-01,7bae96ab-0ef2-11e5-834d-8438355b7e3a,"Sheriff Cinder","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Alien Factor",854c2cbc-a67d-4740-9164-0e166ab99a24
"Alex Nicol",1976-01-01,7bae9dd1-0ef2-11e5-83d8-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Ape",854c2cbc-a67d-4740-9164-0e166ab99a24
"Joanna Kerns",1976-01-01,7bae9dd1-0ef2-11e5-83d8-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Ape",854c2cbc-a67d-4740-9164-0e166ab99a24
"Rod Arrants",1976-01-01,7bae9dd1-0ef2-11e5-83d8-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Ape",854c2cbc-a67d-4740-9164-0e166ab99a24
"Jane Lapotaire",1973-01-01,7baea191-0ef2-11e5-bed9-8438355b7e3a,"Christina Cunningham","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Asphyx",854c2cbc-a67d-4740-9164-0e166ab99a24
"John Lawrence",1973-01-01,7baea191-0ef2-11e5-bed9-8438355b7e3a,"Mason","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Asphyx",854c2cbc-a67d-4740-9164-0e166ab99a24
"Ralph Arliss",1973-01-01,7baea191-0ef2-11e5-bed9-8438355b7e3a,"Clive Cunningham","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Asphyx",854c2cbc-a67d-4740-9164-0e166ab99a24
"Robert Powell",1973-01-01,7baea191-0ef2-11e5-bed9-8438355b7e3a,"Giles Cunningham","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Asphyx",854c2cbc-a67d-4740-9164-0e166ab99a24
"Robert Stephens",1973-01-01,7baea191-0ef2-11e5-bed9-8438355b7e3a,"Sir Hugo Cunningham","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Asphyx",854c2cbc-a67d-4740-9164-0e166ab99a24
"Caroline Munro",1976-07-01,7baea782-0ef2-11e5-98d0-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"At the Earth's Core",854c2cbc-a67d-4740-9164-0e166ab99a24
"Cy Grant",1976-07-01,7baea782-0ef2-11e5-98d0-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"At the Earth's Core",854c2cbc-a67d-4740-9164-0e166ab99a24
"Doug McClure",1976-07-01,7baea782-0ef2-11e5-98d0-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"At the Earth's Core",854c2cbc-a67d-4740-9164-0e166ab99a24
"Godfrey James",1976-07-01,7baea782-0ef2-11e5-98d0-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"At the Earth's Core",854c2cbc-a67d-4740-9164-0e166ab99a24
"Peter Cushing",1976-07-01,7baea782-0ef2-11e5-98d0-8438355b7e3a,"unknown","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"At the Earth's Core",854c2cbc-a67d-4740-9164-0e166ab99a24
"Al Pacino",1972-03-15,7baeadae-0ef2-11e5-b8fc-8438355b7e3a,"Michael Corleone","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Godfather",854c2cbc-a67d-4740-9164-0e166ab99a24
"James Caan",1972-03-15,7baeadae-0ef2-11e5-b8fc-8438355b7e3a,"Sonny Corleone","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Godfather",854c2cbc-a67d-4740-9164-0e166ab99a24
"John Cazale",1972-03-15,7baeadae-0ef2-11e5-b8fc-8438355b7e3a,"Fredo Corleone","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Godfather",854c2cbc-a67d-4740-9164-0e166ab99a24
"Marlon Brando",1972-03-15,7baeadae-0ef2-11e5-b8fc-8438355b7e3a,"Vito Corleone","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Godfather",854c2cbc-a67d-4740-9164-0e166ab99a24
"Robert Duvall",1972-03-15,7baeadae-0ef2-11e5-b8fc-8438355b7e3a,"Tom Hagen","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Godfather",854c2cbc-a67d-4740-9164-0e166ab99a24
"Cleavon Little",1974-02-07,7baec60f-0ef2-11e5-b06d-8438355b7e3a,"Bart","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Blazing Saddles",854c2cbc-a67d-4740-9164-0e166ab99a24
"David Huddleston",1974-02-07,7baec60f-0ef2-11e5-b06d-8438355b7e3a,"Olson Johnson","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Blazing Saddles",854c2cbc-a67d-4740-9164-0e166ab99a24
"Gene Wilder",1974-02-07,7baec60f-0ef2-11e5-b06d-8438355b7e3a,"Jim","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Blazing Saddles",854c2cbc-a67d-4740-9164-0e166ab99a24
"Harvey Korman",1974-02-07,7baec60f-0ef2-11e5-b06d-8438355b7e3a,"Hedley Lamarr","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Blazing Saddles",854c2cbc-a67d-4740-9164-0e166ab99a24
"John Hillerman",1974-02-07,7baec60f-0ef2-11e5-b06d-8438355b7e3a,"Howard Johnson","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Blazing Saddles",854c2cbc-a67d-4740-9164-0e166ab99a24
"Eric Idle",1975-03-14,7baee63d-0ef2-11e5-bc0c-8438355b7e3a,"Sir Robin","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Monty Python and the Holy Grail",854c2cbc-a67d-4740-9164-0e166ab99a24
"Graham Chapman",1975-03-14,7baee63d-0ef2-11e5-bc0c-8438355b7e3a,"King Arthur","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Monty Python and the Holy Grail",854c2cbc-a67d-4740-9164-0e166ab99a24
"John Cleese",1975-03-14,7baee63d-0ef2-11e5-bc0c-8438355b7e3a,"Lancelot","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Monty Python and the Holy Grail",854c2cbc-a67d-4740-9164-0e166ab99a24
"Terry Gilliam",1975-03-14,7baee63d-0ef2-11e5-bc0c-8438355b7e3a,"Patsy","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Monty Python and the Holy Grail",854c2cbc-a67d-4740-9164-0e166ab99a24
"Terry Jones",1975-03-14,7baee63d-0ef2-11e5-bc0c-8438355b7e3a,"Bedivere","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Monty Python and the Holy Grail",854c2cbc-a67d-4740-9164-0e166ab99a24
"Ellen Burstyn",1973-06-19,7baf0561-0ef2-11e5-89db-8438355b7e3a,"Chris MacNeil","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Exorcist",854c2cbc-a67d-4740-9164-0e166ab99a24
"Jason Miller",1973-06-19,7baf0561-0ef2-11e5-89db-8438355b7e3a,"Damien Karras","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Exorcist",854c2cbc-a67d-4740-9164-0e166ab99a24
"Kitty Winn",1973-06-19,7baf0561-0ef2-11e5-89db-8438355b7e3a,"Sharon Spencer","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Exorcist",854c2cbc-a67d-4740-9164-0e166ab99a24
"Lee J. Cobb",1973-06-19,7baf0561-0ef2-11e5-89db-8438355b7e3a,"Lt. William Kinderman","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Exorcist",854c2cbc-a67d-4740-9164-0e166ab99a24
"Max von Sydow",1973-06-19,7baf0561-0ef2-11e5-89db-8438355b7e3a,"Lankester Merrin","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"The Exorcist",854c2cbc-a67d-4740-9164-0e166ab99a24
"Brian Andrews",1978-10-01,7baf1673-0ef2-11e5-9b2d-8438355b7e3a,"Tommy Doyle","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Halloween",854c2cbc-a67d-4740-9164-0e166ab99a24
"Donald Pleasence",1978-10-01,7baf1673-0ef2-11e5-9b2d-8438355b7e3a,"Samuel Loomis","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Halloween",854c2cbc-a67d-4740-9164-0e166ab99a24
"Jamie Lee Curtis",1978-10-01,7baf1673-0ef2-11e5-9b2d-8438355b7e3a,"Laurie Strode","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Halloween",854c2cbc-a67d-4740-9164-0e166ab99a24
"Nancy Kyes",1978-10-01,7baf1673-0ef2-11e5-9b2d-8438355b7e3a,"Annie Brackett","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Halloween",854c2cbc-a67d-4740-9164-0e166ab99a24
"Nick Castle",1978-10-01,7baf1673-0ef2-11e5-9b2d-8438355b7e3a,"The Shape","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Halloween",854c2cbc-a67d-4740-9164-0e166ab99a24
"Brad Dourif",1975-11-19,7baf1dfa-0ef2-11e5-ae15-8438355b7e3a,"Billy Bibbit","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"One Flew Over the Cuckoo's Nest",854c2cbc-a67d-4740-9164-0e166ab99a24
"Christopher Lloyd",1975-11-19,7baf1dfa-0ef2-11e5-ae15-8438355b7e3a,"Taber","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"One Flew Over the Cuckoo's Nest",854c2cbc-a67d-4740-9164-0e166ab99a24
"Scatman Crothers",1975-11-19,7baf1dfa-0ef2-11e5-ae15-8438355b7e3a,"Turkle","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"One Flew Over the Cuckoo's Nest",854c2cbc-a67d-4740-9164-0e166ab99a24
"Will Sampson",1975-11-19,7baf1dfa-0ef2-11e5-ae15-8438355b7e3a,"Chief Bromden","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"One Flew Over the Cuckoo's Nest",854c2cbc-a67d-4740-9164-0e166ab99a24
"William Redfield",1975-11-19,7baf1dfa-0ef2-11e5-ae15-8438355b7e3a,"Dale Harding","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"One Flew Over the Cuckoo's Nest",854c2cbc-a67d-4740-9164-0e166ab99a24
"Arnold Schwarzenegger",1976-04-23,7baf2afd-0ef2-11e5-bb1a-8438355b7e3a,"Joe Santo","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Stay Hungry",854c2cbc-a67d-4740-9164-0e166ab99a24
"Jeff Bridges",1976-04-23,7baf2afd-0ef2-11e5-bb1a-8438355b7e3a,"Craig Blake","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Stay Hungry",854c2cbc-a67d-4740-9164-0e166ab99a24
"Robert Englund",1976-04-23,7baf2afd-0ef2-11e5-bb1a-8438355b7e3a,"Franklin","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Stay Hungry",854c2cbc-a67d-4740-9164-0e166ab99a24
"Sally Field",1976-04-23,7baf2afd-0ef2-11e5-bb1a-8438355b7e3a,"Mary Tate Farnsworth","","{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}",{},"Stay Hungry",854c2cbc-a67d-4740-9164-0e166ab99a24
